ID;PUBLISHED YEAR;TITLE;NUMBER PLAYER;PLAY TIME;AVERAGE;THUMBNAIL
303676;2021;Oh My Brain;2-5;10min-15min;https://cf.geekdo-images.com/nl61EEgDhdu1BcVEujd6BQ__thumb/img/VbDs-gFg616cAC8EnIHOOVArxeo=/fit-in/200x150/filters:strip_icc()/pic6809276.png
73365;2010;Papayoo;3-8;30min;https://cf.geekdo-images.com/hZiP8Opgl82VKH01wMILpQ__thumb/img/T-rkWApquva7lt0xlw2qWDd2c4w=/fit-in/200x150/filters:strip_icc()/pic8308540.jpg
291962;2020;Paper Dungeons: A Dungeon Scrawler Game;1-8;30min;https://cf.geekdo-images.com/HCX-DAB544miK-cAoxNy3A__thumb/img/ZPgoWzIkeGKtjH1FkK2nj5tHqa8=/fit-in/200x150/filters:strip_icc()/pic5702613.png
176396;2016;Quadropolis;2-4;30min-60min;https://cf.geekdo-images.com/y7kVtuCs6EfItCGUloqBAA__thumb/img/SGHJzA_0kYlRzeWTi5s_4JB_EPY=/fit-in/200x150/filters:strip_icc()/pic2840020.jpg
199561;2017;Sagrada;1-4;30min-45min;https://cf.geekdo-images.com/PZt3EAAGV3dFIVuwMR0AEw__thumb/img/1m4aryOW1MOpq-8jGkF6gDTJmCY=/fit-in/200x150/filters:strip_icc()/pic3525224.jpg
285036;2021;Shadow Kingdoms of Valeria;1-5;30min-75min;https://cf.geekdo-images.com/-dVwBgWqyzjazcMVIC_Diw__thumb/img/yDQvv8iz92gLhFgSMg-hGdL7bh8=/fit-in/200x150/filters:strip_icc()/pic6316673.jpg
70919;2011;Takenoko;2-4;45min;https://cf.geekdo-images.com/uvz-5V6A2R6dp2oWIXmj_g__thumb/img/vz9Ec1xB2b4JJQlZFijUsuCvfkQ=/fit-in/200x150/filters:strip_icc()/pic1912529.jpg
167791;2016;Terraforming Mars;1-5;120min;https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__thumb/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg
265736;2019;Tiny Towns;1-6;45min-60min;https://cf.geekdo-images.com/aE1EoOzr530gQin8bj8QDA__thumb/img/AI-Ro3wLJtpyZLmCMNywOlpz0S8=/fit-in/200x150/filters:strip_icc()/pic4460401.jpg
300905;2020;Top Ten;4-9;30min;https://cf.geekdo-images.com/0LVOOyXtNNyFhyj7tFaKCQ__thumb/img/a-klyIgrojswCIe3KKOmJrCOgOw=/fit-in/200x150/filters:strip_icc()/pic5212719.jpg
344415;2021;Trek 12: Amazonia;1-50;15min;https://cf.geekdo-images.com/kGfg7rjLbZaTFQpogAFr2Q__thumb/img/f6cNfkEXMuCr2hLTlRwTw_fzlQA=/fit-in/200x150/filters:strip_icc()/pic6330955.png
303672;2020;Trek 12: Himalaya;1-50;15min-30min;https://cf.geekdo-images.com/Dk-J77g7K25I1uepIUbLCg__thumb/img/SLsXvENZs0NL79-vcXHOKtqBJBY=/fit-in/200x150/filters:strip_icc()/pic6671262.png
170561;2016;Valeria: Card Kingdoms;1-5;30min-45min;https://cf.geekdo-images.com/WcC51JYkbf9CYjKGgAVQAw__thumb/img/Hk5M9-pYZe0XVkXg2FiOaT07EPk=/fit-in/200x150/filters:strip_icc()/pic6922596.png
274228;2019;Valeria: Card Kingdoms – Crimson Seas;1-5;30min-45min;https://cf.geekdo-images.com/O6CtUYU4HOS3FZo_3y0GZg__thumb/img/0f1WoItL-88DMvEd5RP2UO7qdXE=/fit-in/200x150/filters:strip_icc()/pic4609328.jpg
194247;2017;Valeria: Card Kingdoms – Flames & Frost;1-5;30min-45min;https://cf.geekdo-images.com/oJMQvJnZqJUf3PWAveFCzw__thumb/img/0Y8H73rJJExfUGo6d5si4s2QouU=/fit-in/200x150/filters:strip_icc()/pic3584962.jpg
244367;2019;Valeria: Card Kingdoms – Shadowvale;1-5;30min-45min;https://cf.geekdo-images.com/T1EqKqsj0Mt07AkLbmzPzg__thumb/img/MuJCaNZChBPA16E54NMAPLZID4k=/fit-in/200x150/filters:strip_icc()/pic3946899.jpg
258074;2019;Volfyirion;1-2;15min-30min;https://cf.geekdo-images.com/Aj8NuGnzNWI45MgaRd8pMA__thumb/img/J3_x_DaWZ2atpzfFM3yYVLSzAgg=/fit-in/200x150/filters:strip_icc()/pic4653586.jpg
339789;2021;Welcome to the Moon;1-6;25min-30min;https://cf.geekdo-images.com/eCdiHCB9OobumwaGl4dbOQ__thumb/img/dyaAIesMyeQWUoLRA25Dj9MhruI=/fit-in/200x150/filters:strip_icc()/pic6204967.png
233867;2018;Welcome To...;1-100;25min;https://cf.geekdo-images.com/g4XmxyKhNVdhC3QPd1purQ__thumb/img/e3bCyIvM1IOGFYnKGj2jIn5mbKY=/fit-in/200x150/filters:strip_icc()/pic3761012.jpg
